URL_ID,URL
1,http://www.mckinsey.com/industries/healthcare/our-insights/transforming-healthcare-with-ai
2,http://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/what-every-ceo-should-know-about-generative-ai
3,http://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/generative-ai-and-the-future-of-hr
4,http://www.mckinsey.com/capabilities/quantumblack/our-insights/ask-the-ai-experts-should-we-be-afraid-of-ai
5,http://www.mckinsey.com/capabilities/quantumblack/our-insights/applying-ai-where-and-how-to-put-artificial-intelligence-to-work
6,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/
7,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/
8,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/
9,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/
10,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/
